  ◆  swag        unittest • sources
  Test-BranchSimplify_ErasesDeadTailAfterRet  ok (19 us)
  Test-BranchSimplify_ConvertsMinPatternToCmov  ok (22 us)
  Test-BranchSimplify_ConvertsConditionalConstantToCmov  ok (21 us)
  Test-BranchSimplify_KeepsMultiInstructionBranchBody  ok (22 us)
  Test-BranchSimplify_ThreadsShortCircuitExit  ok (37 us)
  Test-BranchSimplify_KeepsReferencedLabel  ok (20 us)
  Test-BranchSimplify_KeepsByteSelectBranch  ok (18 us)
  Test-BranchSimplify_ConvertsDiamondSelectToCmov  ok (29 us)
  Test-BranchSimplify_ConvertsDiamondConstantsToCmov  ok (26 us)
  Test-BranchSimplify_SinksCompareBelowFlagWritingArm  ok (31 us)
  Test-BranchSimplify_KeepsDiamondWithGuardedLoad  ok (23 us)
  Test-BranchSimplify_KeepsDiamondWithSharedArmLabel  ok (28 us)
  Test-BranchSimplify_KeepsDiamondWhenArmReadsResultFirst  ok (24 us)
  Test-BranchSimplify_KeepsDiamondWhenArmClobbersCompareInput  ok (27 us)
  Test-BranchSimplify_KeepsByteDiamond  ok (23 us)
  Test-BranchSimplify_ConvertsEarlyReturnToCmov  ok (24 us)
  Test-BranchSimplify_ConvertsEarlyReturnChainToCmovs  ok (51 us)
  Test-BranchSimplify_KeepsEarlyReturnWithGuardedLoad  ok (18 us)
